,Window opening angle (degrees),Shade opening (%),Flow rate (m3/s),Representative mean velocity (m/s),k value,Epsilon,,,,Constants,
Case 1,90°,100%,0.5,0.7987,2.39E-03,2.85E-04,,,,Hydraulic diameter (m),0.964948454
Case 2,90°,75%,0.5,0.7987,2.39E-03,2.85E-04,,,,Turbulent length,6.75E-02
Case 3,90°,50%,0.5,0.7987,2.39E-03,2.85E-04,,,,C_mu,0.09
Case 4,90°,25%,0.5,0.7987,2.39E-03,2.85E-04,,,,Turbulence intensity (%),0.05
Case 5,60°,100%,0.5,0.7987,2.39E-03,2.85E-04,,,,,
Case 6,60°,75%,0.5,0.7987,2.39E-03,2.85E-04,,,,,
Case 7,60°,50%,0.5,0.7987,2.39E-03,2.85E-04,,,,,
Case 8,60°,25%,0.5,0.7987,2.39E-03,2.85E-04,,,,,
Case 9,30°,100%,0.5,0.7987,2.39E-03,2.85E-04,,,,,
Case 10,30°,75%,0.5,0.7987,2.39E-03,2.85E-04,,,,,
Case 11,30°,50%,0.5,0.7987,2.39E-03,2.85E-04,,,,,
Case 12,30°,25%,0.5,0.7987,2.39E-03,2.85E-04,,,,,
Case 13,90°,100%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 14,90°,75%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 15,90°,50%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 16,90°,25%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 17,60°,100%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 18,60°,75%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 19,60°,50%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 20,60°,25%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 21,30°,100%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 22,30°,75%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 23,30°,50%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 24,30°,25%,1,1.5974,9.57E-03,2.28E-03,,,,,
Case 25,90°,100%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 26,90°,75%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 27,90°,50%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 28,90°,25%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 29,60°,100%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 30,60°,75%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 31,60°,50%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 32,60°,25%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 33,30°,100%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 34,30°,75%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 35,30°,50%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 36,30°,25%,1.5,2.3962,2.15E-02,7.69E-03,,,,,
Case 37,90°,100%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 38,90°,75%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 39,90°,50%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 40,90°,25%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 41,60°,100%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 42,60°,75%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 43,60°,50%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 44,60°,25%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 45,30°,100%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 46,30°,75%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 47,30°,50%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 48,30°,25%,2,3.1949,3.83E-02,1.82E-02,,,,,
Case 49,90°,100%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 50,90°,75%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 51,90°,50%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 52,90°,25%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 53,60°,100%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 54,60°,75%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 55,60°,50%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 56,60°,25%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 57,30°,100%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 58,30°,75%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 59,30°,50%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 60,30°,25%,2.5,3.9936,5.98E-02,3.56E-02,,,,,
Case 61,90°,100%,3,4.7923,8.61E-02,6.15E-02,,,,,
Case 62,90°,75%,3,4.7923,8.61E-02,6.15E-02,,,,,
Case 63,90°,50%,3,4.7923,8.61E-02,6.15E-02,,,,,
Case 64,90°,25%,3,4.7923,8.61E-02,6.15E-02,,,,,
Case 65,60°,100%,3,4.7923,8.61E-02,6.15E-02,,,,,
Case 66,60°,75%,3,4.7923,8.61E-02,6.15E-02,,,,,
Case 67,60°,50%,3,4.7923,8.61E-02,6.15E-02,,,,,
Case 68,60°,25%,3,4.7923,8.61E-02,6.15E-02,,,,,
Case 69,30°,100%,3,4.7923,8.61E-02,6.15E-02,,,,,
Case 70,30°,75%,3,4.7923,8.61E-02,6.15E-02,,,,,
Case 71,30°,50%,3,4.7923,8.61E-02,6.15E-02,,,,,
Case 72,30°,25%,3,4.7923,8.61E-02,6.15E-02,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
