case,time_s,flow_rate_m3_s,area_m2,rho_kg_m3,pressure_diff_lines_outdoor_minus_indoor_Pa,pressure_diff_patch_outdoor_minus_indoor_Pa,pressure_diff_domains_outside_minus_inside_Pa,Cd_lines,Cd_patch,Cd_domains
C1,60,-1.725785,0.936,1.293,11.191852,21.24036,8.093872,0.443143239,0.321672674,0.52109504
C2,60,-1.788961,0.936,1.293,19.8969881,28.98597,16.29667,0.344520936,0.285440353,0.380679818
C3,60,-1.738353,0.936,1.293,57.0950959,57.21006,41.68965,0.197627321,0.197428654,0.231276903
C4,60,1.970582,0.936,1.293,136.409608,95.79613,82.32377,0.144937394,0.172953337,0.186569352
C5,60,-1.838587,0.936,1.293,16.3829934,20.46505,9.536004,0.390207824,0.349129218,0.511457308
C6,60,-1.858391,0.936,1.293,28.4064322,32.06439,19.92812,0.299527819,0.281925279,0.357612215
C7,60,-1.884314,0.936,1.293,30.5677374,13.0007,0.2465678,0.29277234,0.448929684,3.25981918
C8,60,-1.466971,0.936,1.293,159.396328,167.4019,152.3745,0.0998138455,0.0973979358,0.102087789
C9,60,-1.686179,0.936,1.293,21.1131756,6.608582,8.498826,0.31523564,0.563453331,0.496858385
C10,60,-1.577897,0.936,1.293,28.3692952,19.88703,14.67628,0.254485354,0.303949968,0.353817306
C11,60,-1.954595,0.936,1.293,42.2096117,47.10616,36.21982,0.258439874,0.244639369,0.278992196
C12,60,-1.84253,0.936,1.293,143.289767,146.7927,135.2496,0.132225554,0.13063837,0.136099017
C13,60,-0.980251,0.936,1.293,1.92191471,4.962277,1.909848,0.607405408,0.37801167,0.609321227
C14,60,-0.9728944,0.936,1.293,3.85677655,6.942109,3.863921,0.425561059,0.317196514,0.425167442
C15,60,-0.9255714,0.936,1.293,7.34028561,10.33806,7.206702,0.293468751,0.247285595,0.296176134
C16,60,-0.9900875,0.936,1.293,31.3270045,34.47063,31.41404,0.151957646,0.144862969,0.151746994
C17,60,-0.9789724,0.936,1.293,2.08063458,4.836479,2.037006,0.58301665,0.382396766,0.589227096
C18,60,-0.833109,0.936,1.293,4.14615583,6.454439,3.791589,0.351469328,0.281696202,0.367535772
C19,60,-0.9729611,0.936,1.293,7.84554855,10.40384,7.643178,0.298395477,0.259123655,0.302320019
C20,60,-0.9477784,0.936,1.293,30.8080008,32.94565,30.27905,0.146684243,0.141845703,0.147959924
C21,60,-0.9566444,0.936,1.293,3.5553242,5.850466,3.08013,0.435832231,0.339753328,0.468246377
C22,60,-0.9667836,0.936,1.293,4.8097313,7.424844,4.566482,0.378684285,0.304785305,0.38863939
C23,60,-0.9050608,0.936,1.293,8.94127428,11.29845,8.697228,0.260007851,0.231300588,0.263630555
C24,60,-0.990634,0.936,1.293,32.2125117,34.41924,31.75504,0.149937184,0.145051093,0.15101334
C25,60,0.4928425,0.936,1.293,1.94736809,2.599276,1.887906,0.303383909,0.262597368,0.308124608
C26,60,0.985685,0.936,1.293,7.94511561,10.33308,7.452393,0.300397596,0.263409642,0.310169214
C27,60,1.478589,0.936,1.293,17.6370928,22.8626,16.67442,0.302442199,0.265639759,0.311050224
C28,60,1.971432,0.936,1.293,32.5016307,40.22987,30.1269,0.29705553,0.267002854,0.308541079
C29,60,2.464274,0.936,1.293,50.1565198,63.64217,47.05874,0.298905367,0.265353562,0.308586742
C30,60,2.957117,0.936,1.293,72.0875377,91.00312,67.17814,0.299189831,0.266286275,0.309929515
